race_name,short_race_name,date,lap,driver_ID,driver,section,speed_mph
Firestone Grand Prix of St. Petersburg,stpete,2-Mar-2025,14,51,"Abel, Jacob",S04_Turn4,89.952
Firestone Grand Prix of St. Petersburg,stpete,2-Mar-2025,14,51,"Abel, Jacob",S05_Turns5_8,70.542
Firestone Grand Prix of St. Petersburg,stpete,2-Mar-2025,14,51,"Abel, Jacob",S06_Turn9,63.091
Firestone Grand Prix of St. Petersburg,stpete,2-Mar-2025,14,51,"Abel, Jacob",S07_Turn9a,131.952
Firestone Grand Prix of St. Petersburg,stpete,2-Mar-2025,14,51,"Abel, Jacob",S08_Turn10,87.312
Firestone Grand Prix of St. Petersburg,stpete,2-Mar-2025,14,51,"Abel, Jacob",S09_Turns11_12,125.306
Firestone Grand Prix of St. Petersburg,stpete,2-Mar-2025,14,51,"Abel, Jacob",S10_Turns13_14,82.376
Firestone Grand Prix of St. Petersburg,stpete,2-Mar-2025,14,51,"Abel, Jacob",S11_FS_PI,142.452
Firestone Grand Prix of St. Petersburg,stpete,2-Mar-2025,14,51,"Abel, Jacob",lap_speed_mph,101.465
Firestone Grand Prix of St. Petersburg,stpete,2-Mar-2025,15,51,"Abel, Jacob",S01_FS_PO,158.497
Firestone Grand Prix of St. Petersburg,stpete,2-Mar-2025,15,51,"Abel, Jacob",S02_Turn1,81.201
Firestone Grand Prix of St. Petersburg,stpete,2-Mar-2025,15,51,"Abel, Jacob",S03_Turns2_3,126.415
Firestone Grand Prix of St. Petersburg,stpete,2-Mar-2025,15,51,"Abel, Jacob",S04_Turn4,92.606
Firestone Grand Prix of St. Petersburg,stpete,2-Mar-2025,15,51,"Abel, Jacob",S05_Turns5_8,70.426
Firestone Grand Prix of St. Petersburg,stpete,2-Mar-2025,15,51,"Abel, Jacob",S06_Turn9,62.64
Firestone Grand Prix of St. Petersburg,stpete,2-Mar-2025,15,51,"Abel, Jacob",S07_Turn9a,131.599
Firestone Grand Prix of St. Petersburg,stpete,2-Mar-2025,15,51,"Abel, Jacob",S08_Turn10,85.916
Firestone Grand Prix of St. Petersburg,stpete,2-Mar-2025,15,51,"Abel, Jacob",S09_Turns11_12,123.51
Firestone Grand Prix of St. Petersburg,stpete,2-Mar-2025,15,51,"Abel, Jacob",S10_Turns13_14,81.887
Firestone Grand Prix of St. Petersburg,stpete,2-Mar-2025,15,51,"Abel, Jacob",S11_FS_PI,142.257
Firestone Grand Prix of St. Petersburg,stpete,2-Mar-2025,15,51,"Abel, Jacob",lap_speed_mph,101.115
Firestone Grand Prix of St. Petersburg,stpete,2-Mar-2025,16,51,"Abel, Jacob",S01_FS_PO,160.49
Firestone Grand Prix of St. Petersburg,stpete,2-Mar-2025,16,51,"Abel, Jacob",S02_Turn1,82.356
Firestone Grand Prix of St. Petersburg,stpete,2-Mar-2025,16,51,"Abel, Jacob",S03_Turns2_3,127.993
Firestone Grand Prix of St. Petersburg,stpete,2-Mar-2025,16,51,"Abel, Jacob",S04_Turn4,91.28
Firestone Grand Prix of St. Petersburg,stpete,2-Mar-2025,16,51,"Abel, Jacob",S05_Turns5_8,70.521
Firestone Grand Prix of St. Petersburg,stpete,2-Mar-2025,16,51,"Abel, Jacob",S06_Turn9,62.544
Firestone Grand Prix of St. Petersburg,stpete,2-Mar-2025,16,51,"Abel, Jacob",S07_Turn9a,131.671
Firestone Grand Prix of St. Petersburg,stpete,2-Mar-2025,16,51,"Abel, Jacob",S08_Turn10,86.416
Firestone Grand Prix of St. Petersburg,stpete,2-Mar-2025,16,51,"Abel, Jacob",S09_Turns11_12,123.63
Firestone Grand Prix of St. Petersburg,stpete,2-Mar-2025,16,51,"Abel, Jacob",S10_Turns13_14,80.849
Firestone Grand Prix of St. Petersburg,stpete,2-Mar-2025,16,51,"Abel, Jacob",S11_FS_PI,141.591
Firestone Grand Prix of St. Petersburg,stpete,2-Mar-2025,16,51,"Abel, Jacob",lap_speed_mph,101.204
Firestone Grand Prix of St. Petersburg,stpete,2-Mar-2025,17,51,"Abel, Jacob",S01_FS_PO,160.281
Firestone Grand Prix of St. Petersburg,stpete,2-Mar-2025,17,51,"Abel, Jacob",S02_Turn1,81.243
Firestone Grand Prix of St. Petersburg,stpete,2-Mar-2025,17,51,"Abel, Jacob",S03_Turns2_3,128.181
Firestone Grand Prix of St. Petersburg,stpete,2-Mar-2025,17,51,"Abel, Jacob",S04_Turn4,92.691
Firestone Grand Prix of St. Petersburg,stpete,2-Mar-2025,17,51,"Abel, Jacob",S05_Turns5_8,70.372
Firestone Grand Prix of St. Petersburg,stpete,2-Mar-2025,17,51,"Abel, Jacob",S06_Turn9,62.955
Firestone Grand Prix of St. Petersburg,stpete,2-Mar-2025,17,51,"Abel, Jacob",S07_Turn9a,130.458
Firestone Grand Prix of St. Petersburg,stpete,2-Mar-2025,17,51,"Abel, Jacob",S08_Turn10,88.885
Firestone Grand Prix of St. Petersburg,stpete,2-Mar-2025,17,51,"Abel, Jacob",S09_Turns11_12,123.822
Firestone Grand Prix of St. Petersburg,stpete,2-Mar-2025,17,51,"Abel, Jacob",S10_Turns13_14,81.985
Firestone Grand Prix of St. Petersburg,stpete,2-Mar-2025,17,51,"Abel, Jacob",S11_FS_PI,142.07
Firestone Grand Prix of St. Petersburg,stpete,2-Mar-2025,17,51,"Abel, Jacob",lap_speed_mph,101.572
Firestone Grand Prix of St. Petersburg,stpete,2-Mar-2025,18,51,"Abel, Jacob",S01_FS_PO,159.181
Firestone Grand Prix of St. Petersburg,stpete,2-Mar-2025,18,51,"Abel, Jacob",S02_Turn1,80.835
Firestone Grand Prix of St. Petersburg,stpete,2-Mar-2025,18,51,"Abel, Jacob",S03_Turns2_3,127.961
Firestone Grand Prix of St. Petersburg,stpete,2-Mar-2025,18,51,"Abel, Jacob",S04_Turn4,89.805
Firestone Grand Prix of St. Petersburg,stpete,2-Mar-2025,18,51,"Abel, Jacob",S05_Turns5_8,70.63
Firestone Grand Prix of St. Petersburg,stpete,2-Mar-2025,18,51,"Abel, Jacob",S06_Turn9,62.999
Firestone Grand Prix of St. Petersburg,stpete,2-Mar-2025,18,51,"Abel, Jacob",S07_Turn9a,131.093
Firestone Grand Prix of St. Petersburg,stpete,2-Mar-2025,18,51,"Abel, Jacob",S08_Turn10,86.55
Firestone Grand Prix of St. Petersburg,stpete,2-Mar-2025,18,51,"Abel, Jacob",S09_Turns11_12,122.416
Firestone Grand Prix of St. Petersburg,stpete,2-Mar-2025,18,51,"Abel, Jacob",S10_Turns13_14,81.717
Firestone Grand Prix of St. Petersburg,stpete,2-Mar-2025,18,51,"Abel, Jacob",S11_FS_PI,141.93
Firestone Grand Prix of St. Petersburg,stpete,2-Mar-2025,18,51,"Abel, Jacob",lap_speed_mph,100.96
Firestone Grand Prix of St. Petersburg,stpete,2-Mar-2025,19,51,"Abel, Jacob",S01_FS_PO,160.589
Firestone Grand Prix of St. Petersburg,stpete,2-Mar-2025,19,51,"Abel, Jacob",S02_Turn1,81.731
