Player,Team,Pos,Age,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,SH,SF,HBP,AVG,OBP,SLG,OPS,
Darick Hall,PHI,DH,28,18,54,2,9,1,0,1,3,0,0,2,18,0,0,0,0.167,0.196,0.241,0.437,
Michael Brantley,HOU,OF,36,15,54,7,15,2,0,2,7,0,0,2,2,0,1,0,0.278,0.298,0.426,0.724,
Nate Eaton,KC,OF,27,28,53,2,4,0,0,0,1,3,0,2,21,0,0,1,0.075,0.125,0.075,0.2,
Bubba Thompson,TEX,OF,25,37,53,10,9,4,1,0,4,4,2,4,16,1,1,1,0.17,0.237,0.283,0.52,
Trey Cabbage,LAA,OF,26,22,53,5,11,3,0,1,7,1,1,2,26,0,1,0,0.208,0.232,0.321,0.553,
Mark Mathias,PIT,DH,29,22,52,5,12,2,0,0,4,3,0,10,11,0,0,0,0.231,0.355,0.269,0.624,
Raimel Tapia,MIL,OF,29,20,52,10,9,0,0,2,3,2,1,6,20,1,1,1,0.173,0.267,0.288,0.555,
Carson Kelly,DET,C,29,19,52,7,9,2,0,1,7,0,0,7,17,0,0,0,0.173,0.271,0.269,0.54,
Jake Lamb,LAA,OF,33,19,51,7,11,1,0,2,5,0,0,3,15,0,0,0,0.216,0.259,0.353,0.612,
Jose Fermin,STL,2B,24,21,51,2,12,1,0,0,4,0,1,6,8,2,0,2,0.235,0.339,0.255,0.594,
Tyler Wade,OAK,3B,29,26,51,8,13,1,1,0,2,4,0,4,13,0,0,0,0.255,0.309,0.314,0.623,
Kyle Lewis,ARI,DH,28,16,51,2,8,2,0,1,2,0,0,3,21,0,0,0,0.157,0.204,0.255,0.459,
Ernie Clement,TOR,SS,27,30,50,7,19,1,1,1,10,1,0,1,4,0,1,0,0.38,0.385,0.5,0.885,
C.J. Cron,LAA,1B,34,15,50,7,10,0,0,1,5,0,0,4,15,0,0,0,0.2,0.259,0.26,0.519,
Paul DeJong,SF,SS,30,18,49,2,9,2,0,1,5,0,0,0,16,0,1,0,0.184,0.18,0.286,0.466,
Bobby Dalbec,BOS,1B,28,21,49,6,10,2,0,1,1,1,0,4,28,0,0,0,0.204,0.264,0.306,0.57,
Terrin Vavra,BAL,2B,26,27,49,9,12,0,0,0,5,1,0,5,12,2,0,0,0.245,0.315,0.245,0.56,
Carlos Perez,CWS,C,27,27,49,5,10,4,0,1,3,0,0,4,11,0,0,0,0.204,0.264,0.347,0.611,
Derek Hill,WAS,OF,28,13,47,3,8,1,0,0,1,1,0,3,11,0,0,0,0.17,0.22,0.191,0.411,
Taylor Trammell,SEA,OF,26,22,46,7,6,0,0,3,11,0,1,9,22,0,0,1,0.13,0.286,0.326,0.612,
Paul DeJong,TOR,SS,30,13,44,1,3,0,0,0,1,0,0,0,18,0,0,0,0.068,0.068,0.068,0.136,
