pitcherID_2024,player,age,team,team_rank,team_wins,team_win_pct,league,division,team_division_standing,salary,W,L,ERA,G,GS,CG,SHO,SV,SVO,IP,H,R,ER,HR,HB,BB,SO,WHIP,AVG
133,JordanLeasure,25,CWS,30,41,0.253,AL,AL_Central,5,,0,0,0,1,0,0,0,0,0,0.2,1,0,0,0,0,1,0,3,0.333
134,DylanLee,29,ATL,8,89,0.549,NL,NL_East,2,760000,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
135,SamLong,28,KC,12,86,0.531,AL,AL_Central,2,740000,0,1,18,1,0,0,0,0,0,1,2,3,2,0,0,1,0,3,0.4
137,T.J.McFarland,35,OAK,26,69,0.426,AL,AL_West,4,1500000,0,0,0,1,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0
138,JulianMerryweather,32,CHC,16,83,0.512,NL,NL_Central,2,1175000,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,2,0,3,0.333
139,HéctorNeris,35,ATL,8,89,0.549,NL,NL_East,2,,0,1,,1,0,0,0,0,1,0,3,3,3,1,0,0,0,,1
140,JoelPayamps,30,MIL,4,93,0.574,AL,NL_Central,1,1650000,0,0,0,1,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0
141,WandyPeralta,32,SD,5,93,0.574,NL,NL_West,2,3350000,1,0,0,1,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0
142,RyanPressly,35,CHC,16,83,0.512,NL,NL_Central,2,14000000,0,0,4.5,2,0,0,0,0,0,2,2,1,1,0,0,3,0,2.5,0.286
143,TylerRogers,33,SF,20,80,0.494,NL,NL_West,4,3200000,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0
144,EduardoSalazar,26,WAS,25,71,0.438,NL,NL_East,4,740000,0,0,0,1,0,0,0,0,0,0.1,1,0,0,0,0,1,0,6,0.5
145,NickSandlin,27,TOR,24,74,0.457,AL,AL_East,5,1075000,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
146,JustinTopa,33,MIN,17,82,0.506,AL,AL_Central,2,1250000,0,0,0,1,0,0,0,0,0,0.1,0,0,0,0,0,1,0,3,0
